slug,state,gov_1921_state,gov_share_pct,assumability
birmingham-al,AL,147085,29.4,90
huntsville-al,AL,147085,29.4,90
mobile-al,AL,147085,29.4,90
montgomery-al,AL,147085,29.4,90
tuscaloosa-al,AL,147085,29.4,90
daphne-al,AL,147085,29.4,90
anchorage-ak,AK,27224,39.4,100
phoenix-az,AZ,287912,22.6,79
tucson-az,AZ,287912,22.6,79
lake-havasu-city-az,AZ,287912,22.6,79
yuma-az,AZ,287912,22.6,79
little-rock-ar,AR,77547,28.0,85
fayetteville-ar,AR,77547,28.0,85
fort-smith-ar,AR,77547,28.0,85
los-angeles-ca,CA,694833,13.6,63
san-francisco-ca,CA,694833,13.6,63
riverside-ca,CA,694833,13.6,63
san-diego-ca,CA,694833,13.6,63
sacramento-ca,CA,694833,13.6,63
san-jose-ca,CA,694833,13.6,63
fresno-ca,CA,694833,13.6,63
bakersfield-ca,CA,694833,13.6,63
oxnard-ca,CA,694833,13.6,63
stockton-ca,CA,694833,13.6,63
modesto-ca,CA,694833,13.6,63
santa-rosa-ca,CA,694833,13.6,63
visalia-ca,CA,694833,13.6,63
vallejo-ca,CA,694833,13.6,63
santa-maria-ca,CA,694833,13.6,63
salinas-ca,CA,694833,13.6,63
san-luis-obispo-ca,CA,694833,13.6,63
merced-ca,CA,694833,13.6,63
santa-cruz-ca,CA,694833,13.6,63
chico-ca,CA,694833,13.6,63
redding-ca,CA,694833,13.6,63
el-centro-ca,CA,694833,13.6,63
yuba-city-ca,CA,694833,13.6,63
denver-co,CO,240512,19.6,74
colorado-springs-co,CO,240512,19.6,74
fort-collins-co,CO,240512,19.6,74
boulder-co,CO,240512,19.6,74
greeley-co,CO,240512,19.6,74
hartford-ct,CT,62792,17.0,66
bridgeport-ct,CT,62792,17.0,66
new-haven-ct,CT,62792,17.0,66
norwich-ct,CT,62792,17.0,66
torrington-ct,CT,62792,17.0,66
dover-de,DE,34069,24.4,76
miami-fl,FL,667291,26.0,85
tampa-fl,FL,667291,26.0,85
orlando-fl,FL,667291,26.0,85
jacksonville-fl,FL,667291,26.0,85
north-port-fl,FL,667291,26.0,85
cape-coral-fl,FL,667291,26.0,85
lakeland-fl,FL,667291,26.0,85
deltona-fl,FL,667291,26.0,85
palm-bay-fl,FL,667291,26.0,85
pensacola-fl,FL,667291,26.0,85
port-st--lucie-fl,FL,667291,26.0,85
tallahassee-fl,FL,667291,26.0,85
naples-fl,FL,667291,26.0,85
ocala-fl,FL,667291,26.0,85
gainesville-fl,FL,667291,26.0,85
crestview-fl,FL,667291,26.0,85
punta-gorda-fl,FL,667291,26.0,85
panama-city-fl,FL,667291,26.0,85
atlanta-ga,GA,350900,28.2,88
augusta-ga,GA,350900,28.2,88
savannah-ga,GA,350900,28.2,88
columbus-ga,GA,350900,28.2,88
macon-ga,GA,350900,28.2,88
athens-ga,GA,350900,28.2,88
gainesville-ga,GA,350900,28.2,88
warner-robins-ga,GA,350900,28.2,88
urban-honolulu-hi,HI,35317,22.4,73
hilo-hi,HI,35317,22.4,73
boise-city-id,ID,60201,17.8,67
