slug,city,state,total_active,over20,over30,share20,share30,as_of
grand-junction-co,Grand Junction,CO,82814,9076,4229,11.0,5.1,2026-09-10
loveland-co,Loveland,CO,80177,11640,4374,14.5,5.5,2026-09-10
lakewood-co,Lakewood,CO,79957,16885,4839,21.1,6.1,2026-09-10
colorado-springs-co,Colorado Springs,CO,78478,9620,2889,12.3,3.7,2026-09-10
greeley-co,Greeley,CO,76933,16443,5039,21.4,6.5,2026-09-10
westminster-co,Westminster,CO,72992,15169,5674,20.8,7.8,2026-09-10
durango-co,Durango,CO,72841,16034,3016,22.0,4.1,2026-09-10
aurora-co,Aurora,CO,72133,14082,2850,19.5,4.0,2026-09-10
littleton-co,Littleton,CO,71706,11418,5520,15.9,7.7,2026-09-10
golden-co,Golden,CO,63236,10541,5706,16.7,9.0,2026-09-10
pueblo-co,Pueblo,CO,62935,12631,4648,20.1,7.4,2026-09-10
parker-co,Parker,CO,62438,14870,6204,23.8,9.9,2026-09-10
castle-rock-co,Castle Rock,CO,62303,14319,4417,23.0,7.1,2026-09-10
bbadt-co,Bbadt,CO,52853,12702,5154,24.0,9.8,2026-09-10
boulder-co,Boulder,CO,49290,8797,4809,17.8,9.8,2026-09-10
arvada-co,Arvada,CO,34794,5946,3246,17.1,9.3,2026-09-10
denver-co,Denver,CO,31990,6265,2927,19.6,9.1,2026-09-10
centennial-co,Centennial,CO,31514,7305,2994,23.2,9.5,2026-09-10
thornton-co,Thornton,CO,25932,5371,2332,20.7,9.0,2026-09-10
fort-collins-co,Fort Collins,CO,17894,4119,808,23.0,4.5,2026-09-10
longmont-co,Longmont,CO,9388,1771,535,18.9,5.7,2026-09-10
broomfield-co,Broomfield,CO,2525,264,179,10.5,7.1,2026-09-10
