slug,population,pop_5yr_pct,income,ind1,ind1_pct,ind2,ind2_pct,ind3,ind3_pct,ind4,ind4_pct,ind5,ind5_pct
new-york-ny,19756722,-1.2,97334,Education & health care,27.2,Professional & management,14.6,Retail trade,9.4,"Finance, insurance & real estate",9.2,"Arts, food & hospitality",7.8
los-angeles-ca,13012469,-1.9,93525,Education & health care,21.5,Professional & management,14.0,"Arts, food & hospitality",10.4,Retail trade,9.8,Manufacturing,9.4
chicago-il,9359555,-1.9,88850,Education & health care,22.6,Professional & management,14.4,Manufacturing,11.3,Retail trade,10.1,"Arts, food & hospitality",8.4
dallas-tx,7807555,7.6,87155,Education & health care,19.5,Professional & management,14.1,Retail trade,11.1,"Finance, insurance & real estate",9.4,Manufacturing,9.0
houston-tx,7274714,7.3,80458,Education & health care,20.9,Professional & management,13.4,Retail trade,10.5,Construction,9.7,Manufacturing,9.4
washington-dc,6263796,2.0,123896,Professional & management,22.4,Education & health care,19.4,Public administration,13.0,"Arts, food & hospitality",7.6,Retail trade,7.5
philadelphia-pa,6241882,2.8,89273,Education & health care,27.3,Professional & management,13.4,Retail trade,10.2,Manufacturing,8.7,"Finance, insurance & real estate",8.4
miami-fl,6138876,1.1,73481,Education & health care,20.8,Professional & management,14.8,Retail trade,11.5,"Arts, food & hospitality",10.2,Construction,8.2
atlanta-ga,6176937,6.9,86338,Education & health care,19.7,Professional & management,16.1,Retail trade,10.9,"Arts, food & hospitality",8.5,Manufacturing,8.4
boston-ma,4917661,2.2,112484,Education & health care,27.2,Professional & management,17.4,Retail trade,9.3,Manufacturing,8.9,"Finance, insurance & real estate",8.0
phoenix-az,4941206,5.7,84703,Education & health care,20.8,Professional & management,13.3,Retail trade,11.9,"Finance, insurance & real estate",10.3,"Arts, food & hospitality",8.9
san-francisco-ca,4653593,-0.4,133780,Professional & management,21.5,Education & health care,21.4,Retail trade,8.9,"Arts, food & hospitality",7.9,Manufacturing,7.5
riverside-ca,4637725,2.6,86031,Education & health care,21.5,Retail trade,12.2,Professional & management,10.1,"Arts, food & hospitality",9.8,Transportation & utilities,9.7
detroit-mi,4367620,1.2,75123,Education & health care,21.7,Manufacturing,19.2,Professional & management,11.8,Retail trade,10.5,"Arts, food & hospitality",8.3
seattle-wa,4021467,5.6,112594,Education & health care,20.4,Professional & management,17.9,Retail trade,11.9,Manufacturing,9.3,"Arts, food & hospitality",8.1
minneapolis-mn,3693351,3.8,98180,Education & health care,23.9,Manufacturing,13.7,Professional & management,12.5,Retail trade,10.5,"Finance, insurance & real estate",8.5
san-diego-ca,3282782,-0.6,102285,Education & health care,21.9,Professional & management,16.5,"Arts, food & hospitality",10.2,Manufacturing,10.0,Retail trade,10.0
tampa-fl,3240469,6.9,71254,Education & health care,21.7,Professional & management,15.2,Retail trade,12.0,"Finance, insurance & real estate",9.9,"Arts, food & hospitality",9.6
denver-co,2977085,4.5,102339,Education & health care,20.5,Professional & management,16.9,Retail trade,9.8,"Arts, food & hospitality",8.6,"Finance, insurance & real estate",8.3
baltimore-md,2839409,1.7,97300,Education & health care,25.8,Professional & management,15.4,Public administration,9.9,Retail trade,9.4,"Arts, food & hospitality",7.2
st--louis-mo,2809414,0.1,78225,Education & health care,24.2,Professional & management,11.9,Manufacturing,10.9,Retail trade,10.5,"Finance, insurance & real estate",8.3
orlando-fl,2721022,11.1,75611,Education & health care,19.5,"Arts, food & hospitality",15.4,Professional & management,14.6,Retail trade,11.8,Construction,7.6
charlotte-nc,2712818,9.7,80201,Education & health care,19.0,Professional & management,13.1,Retail trade,11.2,Manufacturing,11.0,"Finance, insurance & real estate",10.8
san-antonio-tx,2612802,7.7,74297,Education & health care,22.8,Professional & management,12.3,Retail trade,11.7,"Arts, food & hospitality",10.2,Construction,8.5
portland-or,2510529,3.8,94573,Education & health care,22.1,Professional & management,13.8,Manufacturing,12.2,Retail trade,11.3,"Arts, food & hospitality",8.3
sacramento-ca,2406563,5.0,93986,Education & health care,22.9,Professional & management,12.7,Retail trade,10.4,Public administration,9.9,"Arts, food & hospitality",9.2
pittsburgh-pa,2443921,4.4,73942,Education & health care,26.5,Professional & management,12.0,Retail trade,11.3,Manufacturing,10.0,"Arts, food & hospitality",7.7
cincinnati-oh,2255257,4.0,79490,Education & health care,23.1,Manufacturing,14.0,Professional & management,12.0,Retail trade,11.1,"Arts, food & hospitality",8.6
