slug,name,state,lat,lng,home_value,rent,landlord,tax_rate,growth,climate,blurb,as_of,data_month
new-york-ny,New York,NY,40.735425,-73.80773,735075,3615,30,1.64,64,80,,2026-09-24,2026-08-31
los-angeles-ca,Los Angeles,CA,34.108703,-118.182753,952601,2941,35,0.75,40,55,,2026-09-24,2026-08-31
chicago-il,Chicago,IL,41.75878,-87.841887,357265,2210,35,2.08,64,85,,2026-09-24,2026-08-31
dallas-tx,Dallas,TX,32.849171,-96.970489,360437,1659,85,1.68,19,70,,2026-09-24,2026-08-31
houston-tx,Houston,TX,29.801005,-95.34262,305001,1643,85,1.68,21,70,,2026-09-24,2026-08-31
washington-dc,Washington,DC,38.829787,-77.495684,573336,2433,35,0.57,22,80,,2026-09-24,2026-08-31
philadelphia-pa,Philadelphia,PA,39.894958,-75.311982,389524,1911,70,1.41,64,90,,2026-09-24,2026-08-31
miami-fl,Miami,FL,26.101828,-80.478755,475830,2666,80,0.86,77,40,,2026-09-24,2026-08-31
atlanta-ga,Atlanta,GA,33.732402,-84.392848,377428,1853,90,0.9,36,70,,2026-09-24,2026-08-31
boston-ma,Boston,MA,42.517606,-71.021993,733574,3074,40,1.14,50,80,,2026-09-24,2026-08-31
phoenix-az,Phoenix,AZ,33.185765,-112.067862,442078,1722,85,0.63,11,75,,2026-09-24,2026-08-31
san-francisco-ca,San Francisco,CA,37.773718,-122.274432,1123193,3409,35,0.75,4,55,,2026-09-24,2026-08-31
riverside-ca,Riverside,CA,34.538476,-116.134541,581454,2541,35,0.75,33,55,,2026-09-24,2026-08-31
detroit-mi,Detroit,MI,42.721848,-83.200846,267167,1524,65,1.38,45,85,,2026-09-24,2026-08-31
seattle-wa,Seattle,WA,47.490552,-121.833977,727359,2278,45,0.87,14,80,,2026-09-24,2026-08-31
minneapolis-mn,Minneapolis,MN,45.096664,-93.275361,388865,1719,60,1.11,14,80,,2026-09-24,2026-08-31
san-diego-ca,San Diego,CA,33.023604,-116.776117,930785,2994,35,0.75,46,55,,2026-09-24,2026-08-31
tampa-fl,Tampa,FL,28.120541,-82.525188,358706,2001,80,0.86,31,40,,2026-09-24,2026-08-31
denver-co,Denver,CO,39.434789,-104.901073,559705,1922,55,0.51,6,75,,2026-09-24,2026-08-31
baltimore-md,Baltimore,MD,39.304361,-76.549501,400263,1948,55,1.05,26,80,,2026-09-24,2026-08-31
st--louis-mo,St. Louis,MO,38.740211,-90.345825,275704,1443,85,0.98,55,75,,2026-09-24,2026-08-31
orlando-fl,Orlando,FL,28.434396,-81.356084,383445,1942,80,0.86,44,40,,2026-09-24,2026-08-31
charlotte-nc,Charlotte,NC,35.166342,-80.797285,384458,1749,85,0.8,47,65,,2026-09-24,2026-08-31
san-antonio-tx,San Antonio,TX,29.43306,-98.606973,276747,1422,85,1.68,7,70,,2026-09-24,2026-08-31
portland-or,Portland,OR,45.600622,-122.484378,542843,1818,40,0.93,9,75,,2026-09-24,2026-08-31
sacramento-ca,Sacramento,CA,38.790272,-121.005643,574820,2282,35,0.75,6,55,,2026-09-24,2026-08-31
pittsburgh-pa,Pittsburgh,PA,40.471332,-79.863986,232122,1469,70,1.41,17,90,,2026-09-24,2026-08-31
cincinnati-oh,Cincinnati,OH,39.078585,-84.463514,308426,1522,75,1.52,60,85,,2026-09-24,2026-08-31
austin-tx,Austin,TX,30.249744,-97.649842,417977,1622,85,1.68,1,70,,2026-09-24,2026-08-31
las-vegas-nv,Las Vegas,NV,36.21413,-115.014398,423983,1742,75,0.59,29,75,,2026-09-24,2026-08-31
kansas-city-mo,Kansas City,MO,38.931857,-94.443841,327320,1529,85,0.98,60,75,,2026-09-24,2026-08-31
columbus-oh,Columbus,OH,39.968562,-82.835911,330327,1521,75,1.52,55,85,,2026-09-24,2026-08-31
indianapolis-in,Indianapolis,IN,39.790533,-86.12426,293506,1552,90,0.84,49,85,,2026-09-24,2026-08-31
cleveland-oh,Cleveland,OH,41.667548,-81.43052,253678,1454,75,1.52,81,85,,2026-09-24,2026-08-31
san-jose-ca,San Jose,CA,36.908472,-121.371372,1527731,3815,35,0.75,29,55,,2026-09-24,2026-08-31
nashville-tn,Nashville,TN,36.091577,-86.72298,452186,1813,90,0.65,41,70,,2026-09-24,2026-08-31
virginia-beach-va,Virginia Beach,VA,36.837289,-76.391849,373040,1891,75,0.87,58,80,,2026-09-24,2026-08-31
providence-ri,Providence,RI,41.70684,-71.286687,525363,2167,45,1.4,83,80,,2026-09-24,2026-08-31
jacksonville-fl,Jacksonville,FL,30.234184,-81.756033,350783,1696,80,0.86,34,40,,2026-09-24,2026-08-31
milwaukee-wi,Milwaukee,WI,42.912643,-87.862312,388845,1563,70,1.61,78,85,,2026-09-24,2026-08-31
oklahoma-city-ok,Oklahoma City,OK,35.430968,-97.506966,245317,1388,90,0.89,53,60,,2026-09-24,2026-08-31
raleigh-nc,Raleigh,NC,35.756746,-78.460441,431269,1675,85,0.8,36,65,,2026-09-24,2026-08-31
memphis-tn,Memphis,TN,35.010307,-89.820503,244737,1400,90,0.65,29,70,,2026-09-24,2026-08-31
richmond-va,Richmond,VA,37.411324,-77.441816,394521,1729,75,0.87,63,80,,2026-09-24,2026-08-31
louisville-ky,Louisville,KY,,,280129,1348,80,0.83,47,75,,2026-09-24,2026-08-31
new-orleans-la,New Orleans,LA,29.282447,-89.576068,261002,1598,60,0.56,2,25,,2026-09-24,2026-08-31
salt-lake-city-ut,Salt Lake City,UT,40.572887,-112.953253,560068,1641,85,0.57,23,80,,2026-09-24,2026-08-31
hartford-ct,Hartford,CT,41.688038,-72.545112,402457,2034,45,1.79,99,80,,2026-09-24,2026-08-31
buffalo-ny,Buffalo,NY,43.044371,-78.777335,291683,1449,30,1.64,80,80,,2026-09-24,2026-08-31
birmingham-al,Birmingham,AL,33.462372,-86.814338,262563,1433,90,0.4,28,65,,2026-09-24,2026-08-31
rochester-ny,Rochester,NY,43.184718,-77.556558,286834,1536,30,1.64,97,80,,2026-09-24,2026-08-31
grand-rapids-mi,Grand Rapids,MI,42.979841,-85.715614,357283,1631,65,1.38,73,85,,2026-09-24,2026-08-31
tucson-az,Tucson,AZ,32.128038,-111.783657,338460,1483,85,0.63,18,75,,2026-09-24,2026-08-31
urban-honolulu-hi,Urban Honolulu,HI,21.461365,-158.201974,856305,3020,50,0.27,19,60,,2026-09-24,2026-08-31
tulsa-ok,Tulsa,OK,36.254442,-96.177298,253643,1382,90,0.89,67,60,,2026-09-24,2026-08-31
fresno-ca,Fresno,CA,36.879404,-119.668488,407407,2044,35,0.75,35,55,,2026-09-24,2026-08-31
worcester-ma,Worcester,MA,42.311693,-71.940282,479429,2124,40,1.14,74,80,,2026-09-24,2026-08-31
omaha-ne,Omaha,NE,41.290459,-95.99997,308213,1413,85,1.63,52,75,,2026-09-24,2026-08-31
bridgeport-ct,Bridgeport,CT,41.252442,-73.393266,693466,2890,45,1.79,93,80,,2026-09-24,2026-08-31
greenville-sc,Greenville,SC,34.683709,-82.413423,314151,1569,85,0.56,66,60,,2026-09-24,2026-08-31
albuquerque-nm,Albuquerque,NM,35.123496,-106.458392,349919,1499,70,0.67,71,75,,2026-09-24,2026-08-31
bakersfield-ca,Bakersfield,CA,35.346629,-118.729506,362787,1785,35,0.75,51,55,,2026-09-24,2026-08-31
albany-ny,Albany,NY,42.78792,-73.942348,375358,1682,30,1.64,82,80,,2026-09-24,2026-08-31
knoxville-tn,Knoxville,TN,36.044462,-84.136114,364988,1738,90,0.65,98,70,,2026-09-24,2026-08-31
baton-rouge-la,Baton Rouge,LA,30.515242,-91.126926,248895,1382,60,0.56,25,25,,2026-09-24,2026-08-31
mcallen-tx,McAllen,TX,26.396384,-98.18099,193007,1122,85,1.68,68,70,,2026-09-24,2026-08-31
new-haven-ct,New Haven,CT,41.290167,-72.837024,409372,2082,45,1.79,98,80,,2026-09-24,2026-08-31
el-paso-tx,El Paso,TX,31.527394,-105.521333,234069,1525,85,1.68,86,70,,2026-09-24,2026-08-31
allentown-pa,Allentown,PA,40.789339,-75.398158,365871,1852,70,1.41,84,90,,2026-09-24,2026-08-31
oxnard-ca,Oxnard,CA,34.358748,-119.133145,871731,2954,35,0.75,27,55,,2026-09-24,2026-08-31
columbia-sc,Columbia,SC,34.077585,-81.037845,256132,1559,85,0.56,65,60,,2026-09-24,2026-08-31
north-port-fl,North Port,FL,27.329055,-82.414533,402040,2099,80,0.86,17,40,,2026-09-24,2026-08-31
charleston-sc,Charleston,SC,33.01754,-80.009947,431797,2062,85,0.56,67,60,,2026-09-24,2026-08-31
greensboro-nc,Greensboro,NC,36.025204,-79.792633,263188,1399,85,0.8,50,65,,2026-09-24,2026-08-31
stockton-ca,Stockton,CA,37.934982,-121.272244,524305,2424,35,0.75,4,55,,2026-09-24,2026-08-31
cape-coral-fl,Cape Coral,FL,26.563273,-81.984182,335410,1852,80,0.86,12,40,,2026-09-24,2026-08-31
boise-city-id,Boise City,ID,43.006648,-116.141909,493522,1919,85,0.67,2,80,,2026-09-24,2026-08-31
colorado-springs-co,Colorado Springs,CO,38.845507,-104.638728,448492,1787,55,0.51,7,75,,2026-09-24,2026-08-31
little-rock-ar,Little Rock,AR,34.755773,-92.400589,231747,1265,85,0.62,42,70,,2026-09-24,2026-08-31
lakeland-fl,Lakeland,FL,27.953685,-81.693493,295821,1840,80,0.86,32,40,,2026-09-24,2026-08-31
akron-oh,Akron,OH,41.146639,-81.35011,242459,1327,75,1.52,76,85,,2026-09-24,2026-08-31
des-moines-ia,Des Moines,IA,41.57705,-93.759712,294192,1297,85,1.52,39,80,,2026-09-24,2026-08-31
springfield-ma,Springfield,MA,42.136198,-72.635648,376569,1964,40,1.14,69,80,,2026-09-24,2026-08-31
ogden-ut,Ogden,UT,41.124342,-111.866933,511736,1626,85,0.57,28,80,,2026-09-24,2026-08-31
madison-wi,Madison,WI,43.083846,-89.597745,448708,1641,70,1.61,68,85,,2026-09-24,2026-08-31
winston-nc,Winston,NC,36.078852,-80.345064,280379,1541,85,0.8,62,65,,2026-09-24,2026-08-31
deltona-fl,Deltona,FL,29.1789,-81.189023,330389,1768,80,0.86,26,40,,2026-09-24,2026-08-31
syracuse-ny,Syracuse,NY,43.006516,-76.196134,270832,1607,30,1.64,100,80,,2026-09-24,2026-08-31
provo-ut,Provo,UT,39.872067,-112.359059,539276,1793,85,0.57,19,80,,2026-09-24,2026-08-31
toledo-oh,Toledo,OH,41.544357,-83.690777,205237,1264,75,1.52,62,85,,2026-09-24,2026-08-31
wichita-ks,Wichita,KS,37.637896,-97.246287,224280,1205,85,1.34,79,70,,2026-09-24,2026-08-31
durham-nc,Durham,NC,35.995536,-79.09699,405282,1649,85,0.8,43,65,,2026-09-24,2026-08-31
augusta-ga,Augusta,GA,33.460371,-81.982833,252841,1488,90,0.9,56,70,,2026-09-24,2026-08-31
palm-bay-fl,Palm Bay,FL,28.298311,-80.700333,341944,1898,80,0.86,30,40,,2026-09-24,2026-08-31
jackson-ms,Jackson,MS,32.426311,-90.136422,214315,1506,85,0.67,40,55,,2026-09-24,2026-08-31
harrisburg-pa,Harrisburg,PA,40.335915,-77.05049,311783,1477,70,1.41,78,90,,2026-09-24,2026-08-31
spokane-wa,Spokane,WA,48.091618,-117.663472,418163,1540,45,0.87,12,80,,2026-09-24,2026-08-31
scranton-pa,Scranton,PA,41.322881,-75.898188,235727,1358,70,1.41,75,90,,2026-09-24,2026-08-31
chattanooga-tn,Chattanooga,TN,35.049361,-85.361158,322958,1519,90,0.65,53,70,,2026-09-24,2026-08-31
modesto-ca,Modesto,CA,37.562316,-121.002831,463691,2068,35,0.75,16,55,,2026-09-24,2026-08-31
lancaster-pa,Lancaster,PA,40.041992,-76.250198,387889,1566,70,1.41,89,90,,2026-09-24,2026-08-31
portland-me,Portland,ME,43.651417,-70.418375,539862,2342,55,1.24,63,85,,2026-09-24,2026-08-31
youngstown-oh,Youngstown,OH,41.195092,-80.76508,177110,1026,75,1.52,91,85,,2026-09-24,2026-08-31
lansing-mi,Lansing,MI,42.713659,-84.605372,249666,1280,65,1.38,61,85,,2026-09-24,2026-08-31
fayetteville-ar,Fayetteville,AR,36.116394,-94.079545,367718,1582,85,0.62,92,70,,2026-09-24,2026-08-31
fayetteville-nc,Fayetteville,NC,35.037956,-78.982209,255537,1458,85,0.8,88,65,,2026-09-24,2026-08-31
lexington-ky,Lexington,KY,38.102876,-84.438545,326418,1539,80,0.83,86,75,,2026-09-24,2026-08-31
pensacola-fl,Pensacola,FL,30.608557,-87.158547,310111,1745,80,0.86,38,40,,2026-09-24,2026-08-31
santa-rosa-ca,Santa Rosa,CA,38.525182,-122.92611,785101,2685,35,0.75,5,55,,2026-09-24,2026-08-31
reno-nv,Reno,NV,40.251057,-119.555507,570858,2055,75,0.59,16,75,,2026-09-24,2026-08-31
huntsville-al,Huntsville,AL,34.783262,-86.734871,315402,1386,90,0.4,26,65,,2026-09-24,2026-08-31
port-st--lucie-fl,Port St. Lucie,FL,27.228046,-80.425388,381749,2340,80,0.86,44,40,,2026-09-24,2026-08-31
lafayette-la,Lafayette,LA,30.012961,-92.136552,202529,1382,60,0.56,5,25,,2026-09-24,2026-08-31
myrtle-beach-sc,Myrtle Beach,SC,33.909269,-78.976675,339754,1709,85,0.56,52,60,,2026-09-24,2026-08-31
